ID,Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Children,Living_With,cluster,PCA1,PCA2,PCA3
5376,Graduate,2447.0,42,15,0,28,0,1,0,0,47,539,1730,1,Partner,1,2.3178,-1.2118,0.404
1993,Postgraduate,58607.0,63,3,2,3,9,8,0,0,77,553,972,1,Partner,1,0.4157,-1.2645,2.0189
4047,Postgraduate,65324.0,0,3,6,2,9,4,0,0,72,169,544,1,Partner,1,0.9143,-1.369,1.6444
1409,Graduate,40689.0,69,7,7,1,5,8,0,0,75,468,444,1,Partner,0,-0.837,-1.1058,0.7
7892,Graduate,18589.0,89,2,2,1,3,7,0,0,57,543,75,0,Alone,2,-1.6551,2.0781,-1.3094
2404,Graduate,53359.0,4,4,5,1,4,7,0,0,50,398,257,2,Partner,0,-1.3876,-0.9505,-0.2013
5255,Graduate,51381.5,19,0,27,0,0,1,0,0,40,494,637,1,Alone,3,1.7668,1.8446,-0.1632
9422,Graduate,38360.0,26,2,2,1,4,3,0,0,37,394,131,1,Partner,0,-1.2155,-0.8599,-1.8821
1966,Postgraduate,84618.0,96,1,6,9,10,2,0,0,61,219,1672,0,Partner,1,3.8762,-1.4253,0.4809
6864,Postgraduate,10979.0,34,2,3,0,3,5,0,0,37,38,30,0,Alone,2,-1.7861,1.9173,0.1454
3033,Postgraduate,38620.0,56,1,2,5,3,3,0,0,63,414,318,0,Partner,0,0.0896,-1.0578,0.3611
5710,Graduate,40548.0,31,2,2,1,4,5,0,0,56,627,120,1,Partner,0,-1.2466,-0.8447,-1.1041
7373,Postgraduate,46610.0,8,6,4,1,6,6,0,1,74,608,302,2,Alone,2,-0.5339,2.0959,3.3822
8755,Postgraduate,68657.0,4,1,3,5,9,7,0,0,80,494,1196,0,Partner,1,1.7448,-1.2224,1.3468
10738,Postgraduate,49389.0,55,1,2,0,3,7,0,0,75,304,65,2,Alone,2,-1.7093,1.617,1.5699
4339,Postgraduate,67353.0,37,5,5,6,12,2,0,0,56,180,913,1,Partner,1,2.1099,-1.4921,1.4426
10755,Undergraduate,23718.0,76,3,3,1,2,7,0,0,50,300,81,1,Partner,0,-2.446,-1.0544,-0.3674
8595,Graduate,42429.0,99,2,1,1,3,5,0,0,53,138,67,1,Alone,2,-1.4852,1.8713,-1.6822
2968,Postgraduate,48948.0,53,2,7,10,5,6,0,1,83,513,902,0,Alone,3,2.3479,2.1759,2.2642
8601,Graduate,80011.0,3,2,8,6,5,4,0,0,46,426,1395,1,Partner,1,1.9221,-1.0495,-1.0237
503,Postgraduate,20559.0,88,2,2,0,3,8,0,0,41,474,53,1,Partner,0,-2.4251,-0.9199,0.9192
8430,Graduate,21994.0,4,1,0,0,3,5,0,0,69,552,22,1,Partner,0,-2.0225,-0.8008,-1.2696
7281,Postgraduate,51381.5,80,1,1,3,4,2,0,0,67,236,186,0,Alone,2,0.2084,1.6668,0.2055
2139,Postgraduate,7500.0,19,3,2,0,3,5,0,0,51,270,31,1,Partner,0,-2.2891,-0.9824,0.965
1371,Graduate,79941.0,72,1,2,4,9,1,0,0,50,1,984,0,Alone,3,2.0781,1.7585,-2.3416
9909,Undergraduate,7500.0,24,3,3,1,3,9,0,1,30,597,122,0,Partner,0,-2.2809,-0.195,-0.1238
7286,Graduate,41728.0,92,1,2,0,2,10,0,0,58,401,55,1,Partner,0,-2.3113,-0.8345,-1.185
7244,Graduate,51381.5,96,3,2,1,4,6,0,0,75,179,124,3,Alone,2,-1.7722,1.6145,-0.1829
6566,Postgraduate,72550.0,39,9,5,2,12,8,0,0,72,598,1319,2,Partner,0,0.839,-1.5603,3.6763
8614,Graduate,65486.0,29,1,4,2,10,2,0,0,69,48,507,1,Alone,3,1.1068,1.6341,-1.385
4114,Postgraduate,79143.0,2,1,6,9,13,3,0,0,62,687,1693,0,Partner,1,4.0786,-1.2848,1.2028
1331,Graduate,35790.0,54,2,2,0,3,7,0,0,49,543,72,1,Alone,2,-1.8782,2.1045,-0.9607
2225,Graduate,82582.0,54,1,4,9,7,1,0,1,49,22,1617,0,Alone,3,3.6225,2.3001,-1.813
9381,Graduate,66373.0,57,7,4,2,10,3,0,0,48,382,606,2,Partner,0,0.2778,-1.312,-0.2183
6260,Postgraduate,82384.0,55,1,3,10,13,1,0,1,71,587,1957,0,Partner,1,4.868,-0.8765,1.129
10383,Graduate,70287.0,30,1,5,5,10,3,0,1,60,453,1093,0,Alone,3,2.7493,2.3201,-1.0045
7437,Graduate,27938.0,31,1,1,0,4,3,0,0,38,62,29,1,Alone,2,-1.6616,2.0086,-2.2193
8557,Graduate,51381.5,57,2,2,0,3,6,0,0,44,377,46,1,Alone,2,-1.5291,1.9915,-1.392
8375,Postgraduate,55954.0,63,3,8,2,6,7,0,0,58,118,518,1,Partner,0,0.0191,-1.3276,1.5051
6853,Postgraduate,75777.0,12,1,3,6,11,1,0,1,44,360,1438,0,Alone,3,3.3847,2.1736,0.6345
3076,Graduate,66653.0,18,4,4,2,12,3,0,0,51,660,612,2,Partner,0,0.7044,-1.1477,-0.2669
1012,Graduate,61823.0,26,4,8,2,10,7,0,0,74,496,884,1,Alone,2,1.0605,1.7239,0.5177
6518,Postgraduate,67680.0,8,1,7,3,8,5,0,0,75,383,606,1,Alone,3,1.2159,1.5533,1.7836
4137,Graduate,70666.0,29,1,7,4,4,4,0,0,78,205,1076,0,Partner,1,1.6402,-1.0641,-1.208
8082,Graduate,25721.0,75,1,1,1,2,7,0,1,55,404,34,1,Partner,0,-1.8705,-0.2697,-1.1821
1386,Graduate,32474.0,0,1,1,0,2,7,0,0,59,49,11,2,Partner,0,-2.6406,-0.8461,-1.2137
9369,Undergraduate,88194.0,19,1,11,10,10,5,0,1,47,102,1274,1,Alone,3,3.4466,2.0122,0.3508
4477,Graduate,69096.0,4,1,5,2,10,4,0,0,68,275,653,1,Partner,0,1.0621,-1.1148,-1.0136
1357,Graduate,74854.0,90,7,2,5,5,5,0,0,56,447,1562,3,Partner,1,0.2589,-1.2821,0.3111
1402,Postgraduate,66991.0,1,3,4,8,6,3,0,0,72,656,1253,0,Partner,1,2.3752,-1.1807,1.476
10629,Undergraduate,51381.5,25,3,3,0,3,8,0,0,53,653,109,1,Partner,0,-1.939,-0.994,0.2145
6312,Graduate,65031.0,29,4,10,3,13,7,0,0,67,469,863,1,Partner,1,1.6278,-1.2449,0.3153
8132,Postgraduate,60631.0,88,5,9,2,8,7,0,0,51,450,661,2,Partner,0,0.1097,-1.4305,2.4217
1050,Graduate,28332.0,58,1,2,1,4,2,0,0,74,60,65,0,Partner,0,-0.6658,-0.949,-2.0148
5846,Graduate,40246.0,68,1,1,0,2,6,0,0,49,557,13,1,Alone,2,-1.8804,2.0862,-1.4109
1859,Postgraduate,75251.0,34,1,7,6,5,5,0,1,54,671,1890,0,Partner,1,2.9265,-0.5429,1.5041
7503,Graduate,75825.0,40,0,5,8,9,4,0,1,50,625,2209,0,Alone,3,3.852,2.4178,-1.1165
10401,Undergraduate,26326.0,12,1,0,0,3,3,1,0,50,298,18,0,Partner,0,-1.9773,-0.8705,-1.8757
1618,Graduate,56046.0,9,2,10,1,8,8,0,1,61,543,692,0,Partner,0,1.0967,-0.3541,0.0569
3332,Graduate,29760.0,87,4,3,1,4,8,0,0,41,669,165,1,Alone,2,-1.8279,2.0558,-0.5507
2261,Graduate,26304.0,5,1,1,0,2,7,0,0,57,371,16,1,Partner,0,-2.3495,-0.7108,-1.327
5346,Undergraduate,23559.0,87,3,3,0,3,7,0,0,53,361,79,1,Partner,0,-2.4315,-1.0366,-0.1816
4119,Postgraduate,38620.0,56,1,2,5,3,3,0,0,63,414,318,0,Partner,0,0.0879,-1.0661,0.3453
535,Graduate,81361.0,18,1,3,10,13,1,0,0,39,124,778,0,Alone,3,3.2826,1.7766,-2.1891
5268,Graduate,29440.0,95,2,1,0,4,7,0,0,66,322,56,2,Partner,0,-2.3719,-1.0063,-0.877
273,Postgraduate,36138.0,48,5,3,1,4,7,0,0,56,348,151,2,Partner,0,-1.9215,-1.177,2.0687
4452,Graduate,50388.0,3,4,6,1,6,7,0,1,69,32,372,1,Alone,2,-0.1225,2.3293,0.1646
8504,Graduate,79593.0,70,1,5,6,7,2,0,0,53,48,1366,0,Partner,1,2.4957,-1.1604,-2.2301
771,Graduate,54178.0,79,1,2,2,5,2,0,0,59,159,194,1,Partner,0,-0.2706,-1.0293,-1.8991
8996,Postgraduate,51381.5,4,12,7,2,8,9,0,0,69,587,603,3,Partner,0,-1.029,-1.5569,4.6664
9235,Graduate,51381.5,45,1,1,0,2,7,0,0,69,33,18,2,Alone,2,-2.0932,1.8313,-1.0656
5798,Postgraduate,51381.5,87,1,2,4,8,1,0,0,53,218,985,0,Partner,1,1.4311,-1.2506,-0.158
11178,Postgraduate,42394.0,69,1,1,0,3,7,0,0,54,98,32,1,Alone,2,-1.8119,1.7375,0.5571
2230,Postgraduate,23626.0,84,3,3,1,3,5,0,0,56,36,43,1,Partner,0,-1.7164,-1.163,0.8059
7516,Graduate,30096.0,30,1,2,0,3,6,0,0,43,38,45,1,Partner,0,-2.0852,-0.8329,-1.993
7247,Graduate,47916.0,72,5,7,4,6,6,0,0,66,584,606,1,Alone,2,0.3344,1.736,0.185
11100,Graduate,51813.0,37,2,2,0,3,7,0,0,54,444,63,2,Alone,2,-1.9253,1.9117,-0.7278
4646,Undergraduate,78497.0,44,1,5,7,12,2,0,0,75,210,978,0,Partner,1,2.837,-1.3966,-0.5867
3037,Postgraduate,50150.0,32,2,5,2,7,5,0,0,43,374,410,0,Partner,0,0.2488,-1.0572,0.6779
1473,Undergraduate,47823.0,0,2,2,0,3,8,0,0,66,341,72,1,Alone,2,-1.9442,1.8963,0.2873
1016,Postgraduate,34554.0,43,2,2,0,3,6,0,0,67,91,55,1,Alone,2,-1.6314,1.7536,1.1678
4518,Graduate,85693.0,59,2,9,5,11,5,0,0,47,435,1169,1,Partner,1,2.3969,-1.1803,-0.7757
9370,Postgraduate,65846.0,68,1,6,3,6,4,0,0,81,408,1120,0,Partner,1,1.7005,-1.3229,1.0655
8908,Graduate,87195.0,35,1,3,11,5,1,0,1,67,52,1097,0,Partner,1,3.3292,-0.6318,-1.81
8373,Undergraduate,24594.0,94,1,1,0,3,5,0,0,47,201,29,1,Partner,0,-2.3878,-1.0362,-1.1888
7533,Graduate,49096.0,15,4,4,1,4,7,0,0,62,278,187,2,Partner,0,-1.5547,-1.0535,-0.2543
2683,Graduate,52413.0,56,4,6,4,12,6,0,0,57,512,910,2,Partner,1,0.7333,-1.2021,0.066
3629,Graduate,38557.0,17,2,3,1,3,7,0,0,48,557,145,1,Alone,2,-1.5388,2.1103,-0.8482
10991,Postgraduate,89058.0,18,1,5,4,4,2,0,0,66,569,850,0,Partner,1,1.9523,-1.2215,0.7047
5077,Graduate,77298.0,46,1,6,6,11,3,0,0,47,239,969,1,Partner,1,2.1921,-1.17,-1.5263
7431,Postgraduate,68126.0,40,1,7,4,5,9,0,1,35,596,1820,0,Alone,3,1.8214,2.4225,1.5152
3267,Postgraduate,57288.0,27,3,8,1,8,6,0,0,63,4,608,1,Partner,1,0.368,-1.3397,1.6039
999,Graduate,86037.0,95,1,6,7,11,3,0,1,35,543,730,0,Alone,3,3.1133,2.3785,-1.309
9215,Postgraduate,43974.0,19,5,6,4,6,7,0,0,46,564,551,1,Partner,0,-0.2047,-1.1694,1.9422
2286,Graduate,50785.0,27,2,2,1,3,6,0,0,64,292,114,2,Alone,2,-1.5631,1.9006,-0.6102
1592,Graduate,90765.0,25,0,4,6,5,1,0,0,56,156,1724,0,Partner,1,2.8855,-1.0245,-2.2636
367,Undergraduate,36550.0,74,5,9,1,5,9,0,0,48,495,577,1,Partner,0,-1.1858,-1.0903,0.9956
5234,Undergraduate,30753.0,85,2,1,1,3,5,0,0,59,353,81,2,Partner,0,-2.3603,-1.1317,-0.2586
9862,Graduate,21918.0,37,2,2,0,3,6,0,0,57,227,33,1,Partner,0,-2.148,-0.888,-1.4349
9805,Postgraduate,56129.0,65,4,6,2,10,4,0,0,73,374,660,1,Partner,1,0.9321,-1.4722,1.825
6205,Postgraduate,32557.0,13,3,2,1,3,5,0,1,59,125,80,1,Alone,2,-1.1228,2.2942,1.5083
8442,Postgraduate,19510.0,63,2,1,0,3,7,0,0,41,298,30,2,Partner,0,-2.8425,-1.0565,0.8641
7386,Graduate,30992.0,83,1,1,0,3,7,0,0,50,433,43,1,Alone,2,-2.0817,2.0461,-1.4457
7215,Graduate,101970.0,69,0,6,8,13,2,0,1,43,474,1135,0,Alone,3,4.322,2.2456,-1.4761
1491,Undergraduate,71488.0,87,2,3,4,7,1,0,0,61,496,559,0,Partner,0,1.2322,-1.2024,-0.8067
11071,Graduate,79607.0,37,1,3,6,6,1,0,1,42,434,1923,0,Alone,3,3.16,2.403,-1.7692
3381,Postgraduate,54348.0,51,2,2,0,4,6,0,0,73,21,90,2,Partner,0,-1.5219,-1.2971,1.349
8268,Postgraduate,51381.5,23,3,6,1,7,6,0,0,65,353,404,1,Partner,0,-0.1449,-1.2642,1.695
11051,Postgraduate,77376.0,72,4,6,3,10,4,0,0,70,50,661,2,Partner,1,1.0451,-1.6504,1.7892
8026,Graduate,62998.0,10,5,5,4,5,5,0,0,74,272,463,1,Partner,0,0.2727,-1.1633,-0.2486
433,Postgraduate,61331.0,42,5,11,1,6,8,0,0,68,476,632,2,Alone,2,0.0428,1.5098,3.3499
9597,Graduate,73448.0,10,1,7,2,9,4,0,0,57,139,725,0,Partner,1,1.5352,-1.0869,-1.6107
1295,Graduate,51381.5,96,1,6,5,7,4,0,0,63,322,725,1,Partner,0,0.9034,-1.1027,-1.1986
5290,Postgraduate,41551.0,51,5,5,1,5,8,0,0,62,319,279,2,Partner,0,-1.5037,-1.2837,2.3445
1685,Postgraduate,62981.0,21,1,4,5,13,3,0,0,59,469,1482,0,Partner,1,2.7781,-1.2377,0.8017
5342,Undergraduate,9548.0,31,2,1,0,3,8,0,0,50,690,29,1,Alone,2,-2.924,2.0479,0.0743
9579,Postgraduate,33762.0,61,3,2,2,2,8,0,0,67,357,106,3,Partner,0,-2.5534,-1.2665,2.0502
7660,Postgraduate,35860.0,37,2,1,1,2,5,0,1,53,41,49,2,Alone,2,-1.6977,2.2447,1.2996
1461,Postgraduate,36921.0,74,2,2,0,3,7,0,0,61,336,38,2,Alone,2,-2.111,1.7317,1.6083
821,Postgraduate,92859.0,46,1,5,4,12,2,0,0,34,618,2077,0,Alone,3,3.72,1.6707,0.588
11084,Postgraduate,65104.0,4,2,3,5,7,7,0,1,50,227,1053,1,Partner,1,0.9873,-0.6648,1.3698
8690,Graduate,86111.0,73,1,5,7,10,2,0,0,64,436,1385,0,Partner,1,3.2861,-1.2069,-1.6439
2937,Postgraduate,68352.0,47,3,8,5,9,6,0,0,52,305,871,1,Alone,3,1.5187,1.5434,1.8092
9701,Graduate,41883.0,13,3,4,2,3,7,0,0,38,467,312,1,Partner,0,-1.3432,-0.8205,-1.1029
9949,Graduate,59809.0,36,3,3,3,6,8,0,0,50,619,877,2,Partner,0,-0.5541,-1.0071,-0.3869
10837,Graduate,23957.0,47,1,2,0,3,6,0,1,51,609,68,1,Partner,0,-1.6725,-0.2405,-1.0552
3120,Graduate,38547.0,49,1,1,0,2,8,1,0,45,305,22,1,Partner,0,-2.5458,-0.6911,-2.0043
5885,Undergraduate,35688.0,94,7,4,1,4,8,0,0,53,676,211,3,Partner,0,-2.6967,-1.2593,1.64
4050,Postgraduate,49605.0,65,1,2,1,4,3,0,0,60,8,127,0,Partner,0,-0.3747,-1.1512,-0.0484
3830,Postgraduate,59354.0,59,1,4,4,7,3,0,0,73,66,459,2,Partner,1,0.4051,-1.4325,1.1279
7987,Graduate,65747.0,96,4,8,1,6,6,0,0,57,114,460,1,Partner,0,0.0466,-1.2126,-0.7161
7798,Undergraduate,46344.0,28,4,7,1,5,7,0,0,54,562,429,1,Partner,0,-0.9401,-1.1124,0.6364
92,Graduate,34176.0,12,4,3,0,4,6,0,0,38,48,89,1,Alone,2,-1.7946,2.0239,-1.1123
7055,Postgraduate,61010.0,57,2,8,5,11,5,0,0,74,628,1021,1,Partner,1,2.0227,-1.407,2.0142
10240,Graduate,69372.0,10,1,10,4,6,4,0,1,77,495,1381,0,Partner,1,2.7582,-0.5498,-0.3693
3025,Graduate,49967.0,4,3,6,1,5,7,0,0,68,356,306,1,Alone,2,-0.5666,1.8961,-0.1469
9283,Graduate,60199.0,49,1,0,0,3,4,0,0,48,290,18,3,Alone,2,-1.9919,1.8256,-1.2463
9970,Graduate,55375.0,3,1,1,1,6,2,0,0,49,255,162,1,Partner,0,-0.4736,-0.9628,-2.0412
2730,Graduate,80317.0,64,1,3,4,10,1,0,0,71,313,1231,0,Alone,3,2.7107,1.6973,-1.5802
2795,Postgraduate,30523.0,0,1,1,0,2,7,0,0,68,363,13,3,Alone,2,-2.7503,1.7724,1.9383
9260,Postgraduate,70356.0,20,2,10,6,9,6,0,0,81,601,1706,0,Partner,1,3.1172,-1.3556,2.0637
8182,Graduate,23228.0,91,4,3,0,4,8,0,0,42,175,121,1,Partner,0,-2.3124,-0.9284,-1.2054
10095,Postgraduate,74165.0,9,1,5,4,10,2,0,0,51,424,1293,0,Alone,3,2.6171,1.6127,0.6212
8475,Postgraduate,157243.0,98,15,0,22,0,0,0,0,53,120,1608,1,Partner,1,4.7005,-1.8609,2.2064
4370,Graduate,43482.0,83,3,2,0,4,6,0,0,60,228,88,3,Partner,0,-2.3019,-1.1226,-0.5297
10573,Graduate,62551.0,27,1,6,7,4,3,0,0,73,223,421,0,Alone,3,1.4876,1.7796,-1.395
3712,Graduate,52332.0,63,1,3,2,6,4,0,0,67,305,259,0,Alone,2,0.2354,1.8965,-1.513
6637,Graduate,66951.0,46,1,3,4,7,1,0,0,38,239,1117,0,Alone,3,1.7186,1.8858,-2.3493
3152,Graduate,26091.0,84,3,2,1,3,5,0,0,69,124,89,2,Partner,0,-2.0616,-1.0747,-0.8732
5610,Graduate,33456.0,58,2,1,0,3,7,0,0,61,69,36,2,Partner,0,-2.5076,-0.9868,-1.135
6460,Graduate,28718.0,78,2,2,0,3,8,0,0,44,351,57,1,Partner,0,-2.3439,-0.8117,-1.4293
1349,Graduate,50447.0,4,1,3,1,3,6,0,0,56,69,148,2,Partner,0,-1.6089,-0.9287,-1.1697
1880,Postgraduate,53537.0,17,2,2,1,3,5,0,0,67,150,93,2,Partner,0,-1.3999,-1.203,1.3273
641,Graduate,52074.0,77,1,2,2,2,4,0,0,59,86,119,1,Alone,2,-0.9057,1.9113,-1.6648
8717,Postgraduate,80427.0,56,1,11,8,8,5,0,0,51,655,1835,1,Partner,1,3.2404,-1.341,1.5918
10314,Postgraduate,83837.0,79,1,9,10,5,4,0,1,78,560,1318,0,Partner,1,3.7294,-0.842,1.6926
10854,Postgraduate,38853.0,90,2,2,0,3,7,0,0,56,37,45,2,Partner,0,-2.2684,-1.261,0.9177
10492,Graduate,38285.0,96,1,0,0,3,2,0,0,67,5,10,3,Partner,0,-2.1574,-1.2183,-1.6004
6935,Undergraduate,78497.0,44,1,5,7,12,2,0,0,75,210,978,0,Partner,1,2.8335,-1.4141,-0.6199
7698,Postgraduate,51650.0,81,1,4,1,4,5,0,0,50,49,191,1,Partner,0,-0.8135,-1.2103,0.3711
3559,Undergraduate,16248.0,77,3,2,1,3,6,0,0,38,50,57,1,Partner,0,-2.595,-1.0055,-0.8544
10562,Postgraduate,66835.0,21,1,6,4,13,2,0,0,80,274,1033,0,Partner,1,2.8374,-1.46,0.9611
10796,Postgraduate,30477.0,16,1,1,1,3,6,0,0,42,158,66,1,Partner,0,-1.9321,-1.0065,0.2291
2563,Undergraduate,28249.0,80,1,2,0,3,6,0,0,65,14,43,0,Partner,0,-1.8438,-1.0213,-1.0547
3518,Graduate,25271.0,45,1,1,1,2,9,0,0,43,571,50,1,Partner,0,-2.5582,-0.6419,-1.3455
5823,Postgraduate,32303.0,63,2,1,0,4,5,0,0,56,113,39,1,Alone,2,-1.6309,1.7276,0.7207
3934,Graduate,61286.0,34,2,7,1,8,5,0,0,60,331,608,1,Partner,0,0.4724,-1.0733,-0.7822
6982,Graduate,74068.0,14,1,4,10,9,2,0,0,50,467,1581,0,Partner,1,3.2883,-1.0377,-1.8384
6431,Postgraduate,45759.0,13,2,2,0,3,7,0,0,62,491,68,2,Partner,0,-1.9746,-1.0983,1.6421
9733,Undergraduate,24882.0,52,1,1,1,2,6,0,0,48,658,80,1,Partner,0,-2.3672,-0.8952,-0.6456
5602,Postgraduate,66973.0,98,1,8,7,12,3,0,0,37,408,1282,0,Partner,1,3.0689,-1.3121,0.4022
1324,Graduate,38872.0,93,2,3,0,3,8,0,0,38,395,91,1,Partner,0,-2.0486,-0.7856,-1.3799
326,Graduate,51148.0,38,4,5,1,6,6,0,0,53,496,315,2,Partner,0,-0.9778,-1.0105,-0.1502
7224,Graduate,31353.0,24,2,1,1,2,8,0,0,49,182,31,2,Partner,0,-2.7462,-0.8623,-1.1528
6999,Postgraduate,69661.0,80,1,7,3,12,3,0,0,46,47,834,0,Partner,1,2.1379,-1.3738,0.2022
9938,Graduate,80067.0,82,1,4,6,6,2,0,0,72,283,1600,0,Partner,1,2.6636,-1.194,-1.8061
6422,Graduate,86718.0,20,1,5,6,5,2,0,0,72,528,1270,0,Partner,1,2.5833,-1.057,-1.3676
3182,Postgraduate,46854.0,81,6,5,1,3,8,0,1,53,90,263,2,Alone,2,-1.3349,2.1105,2.6526
7300,Graduate,69142.0,50,3,8,1,7,5,0,0,74,0,535,1,Alone,2,0.6698,1.5986,-0.4664
10424,Graduate,75922.0,60,1,4,4,9,1,0,0,58,202,1295,0,Alone,3,2.5141,1.689,-1.965
8727,Graduate,63693.0,63,3,11,6,9,6,0,0,48,258,1150,1,Alone,3,1.9379,1.651,-0.4249
2798,Postgraduate,102160.0,54,0,7,9,10,4,0,1,49,604,1240,0,Partner,1,4.0936,-0.6998,1.1044
1030,Postgraduate,40637.0,72,2,1,0,3,7,0,0,61,347,38,2,Alone,2,-2.1317,1.7428,1.5519
624,Postgraduate,18890.0,5,1,0,1,2,6,0,1,42,596,35,0,Alone,2,-1.487,2.6969,0.9036
5176,Graduate,29604.0,88,1,1,0,3,9,0,0,38,203,53,1,Partner,0,-2.6026,-0.7683,-1.843
5552,Postgraduate,48721.0,50,6,4,2,5,6,0,0,63,412,293,2,Alone,2,-0.9528,1.5311,2.5439
868,Graduate,44794.0,99,1,2,0,3,6,0,0,60,21,65,1,Partner,0,-1.6254,-0.9558,-1.7258
380,Graduate,64497.0,17,5,11,4,9,8,0,1,72,657,1804,1,Alone,3,2.4631,2.2751,1.5325
2677,Graduate,46097.0,11,5,3,1,6,4,0,0,70,455,241,1,Partner,0,-0.5929,-1.0319,-0.3197
6521,Graduate,77972.0,18,1,4,6,9,1,0,0,72,103,1101,0,Partner,1,2.7016,-1.1899,-1.825
6927,Postgraduate,44377.0,70,8,5,1,5,8,0,0,58,632,264,2,Partner,0,-1.5403,-1.3161,3.0252
2877,Postgraduate,46014.0,21,10,7,1,8,7,0,0,52,524,541,2,Partner,0,-0.7536,-1.3701,3.4756
0,Graduate,70951.0,66,1,3,4,9,1,0,0,41,421,1198,0,Partner,1,2.0649,-0.9702,-2.2138
1584,Graduate,41443.0,79,6,8,1,5,8,0,0,49,89,482,1,Partner,0,-0.9432,-1.0716,-0.2424
7264,Undergraduate,52195.0,2,1,1,0,2,8,0,0,48,48,17,3,Alone,2,-3.0311,1.7779,-0.0189
6274,Postgraduate,83790.0,81,1,8,10,6,3,0,0,78,226,1615,0,Partner,1,3.6928,-1.4516,0.9393
1377,Postgraduate,44551.0,24,2,4,1,5,7,0,0,72,302,285,1,Alone,2,-0.7481,1.7221,1.7621
454,Graduate,69508.0,48,2,11,4,11,6,0,0,46,592,1135,1,Partner,1,1.9916,-1.0737,-0.3399
1755,Undergraduate,45204.0,93,1,1,1,4,3,0,0,38,79,114,1,Partner,0,-1.4674,-1.0634,-1.5166
2075,Graduate,72460.0,56,1,3,5,7,1,0,0,57,227,1047,0,Partner,1,1.9868,-1.0497,-2.1304
4785,Postgraduate,77622.0,3,2,6,3,11,3,0,0,56,76,714,2,Partner,1,1.3073,-1.454,1.3431
9076,Postgraduate,30732.0,44,4,4,1,4,8,0,0,46,540,185,1,Partner,0,-1.698,-1.0585,1.5796
7079,Graduate,63887.0,38,5,9,6,12,6,0,0,64,659,1245,1,Alone,3,2.2987,1.6214,0.5659
4653,Graduate,42011.0,46,4,3,1,4,8,0,0,48,460,189,1,Partner,0,-1.6365,-0.8667,-0.7012
7375,Graduate,51369.0,84,2,8,2,4,8,0,0,50,612,576,1,Partner,0,-0.4183,-0.9423,-0.622
709,Graduate,51537.0,27,3,2,2,11,8,0,0,74,567,1103,1,Alone,2,0.453,1.8397,0.0434
